English Term,Tamil Term,Explanation
service,சேவை,"சேவை என்பது இணையம் மூலமாக வழங்கப்படும் எந்தவொரு வசதியையும் குறிக்கிறது, அதாவது பயனர்களுக்கு உதவும் செயல்கள் . இதில் மின்னஞ்சல், கணினி பாதுகாப்பு, கோப்பு பரிமாற்றம் போன்றவை அடங்கும்."
service authority,சேவை அதிகாரசபை,"சேவை அதிகாரசபை என்பது ஒரு நிறுவனம் அல்லதுமுறைமை சார்ந்த சேவைகளை மேற்கொள்வதற்கு பொறுப்பான அதிகாரமுறைமை ஆகும். இது பாதுகாப்பு, தரக் கட்டுப்பாடு, சேவை வழங்கல் போன்ற செயல்பாடுகளை மேற்கொள்கிறது."
Service Class Provider,சேவை வகுப்பு வழங்குநர்,"சேவை வகுப்பு வழங்குநர் என்பது இணையம் மற்றும் தொலைத்தொடர்பு சேவைகளை வழங்கும் நிறுவனம் அல்லதுமுறைமை ஆகும். இவர்கள் பயனர்களுக்கு இணைய இணைப்பு, மின்னஞ்சல், வலைத்தளம் போன்ற சேவைகளை வழங்குகிறார்கள்."
Service Component Reference Model,சேவை கூறுகள் குறிப்பு மாதிரி,"சேவை கூறுகள் குறிப்பு மாதிரி என்பது ஒரு கணினி அமைப்பில் உள்ள சேவைகளை ஒழுங்குபடுத்துவதற்கும், நிர்வகிப்பதற்கும் உதவும் ஒரு கட்டமைப்பு வடிவமைப்பு முறையாகும். இது சேவை வழங்குநர்கள், சேவை பயன்பாட்டாளர்கள், சேவை நிர்வாகிகள் ஆகியோருக்கிடையேயான தொடர்புகளை வரையறுக்கிறது."
Service Composition,சேவை கலவை,சேவை கலவை என்பது பல சேவைகளை ஒருங்கிணைத்து புதிய சேவையை உருவாக்கும் செயல்முறையாகும். இது பயனர்களின் தேவைகளை பூர்த்தி செய்ய உதவுகிறது.
Service Description,சேவை விவரம்,"சேவை விவரம் என்பது ஒரு கணினி அல்லது நெட்வொர்க் சேவையின் விவரங்களை விளக்கும் ஒரு ஆவணம் ஆகும். இது சேவையின் செயல்பாடுகள், பயன்பாடுகள் மற்றும் பாதுகாப்பு அம்சங்களை உள்ளடக்கியது."
Service Discovery Protocol,சேவை கண்டுபிடிப்பு நெறிமுறை,"சேவை கண்டுபிடிப்பு நெறிமுறை என்பது ஒரு கணினி வலையமைப்பில் உள்ள சேவைகளைக் கண்டறிய உதவும் ஒரு தொழில்நுட்பமாகும். இது பயனர்கள் வலையமைப்பில் உள்ள சேவைகளை, அதாவது வெப் சர்வர்கள், முகவர் சேவைகள் போன்றவற்றைக் கண்டுபிடித்து அணுக உதவுகிறது."
Service Interface,சேவை இடைமுகம்,சேவை இடைமுகம் என்பது ஒரு கணினி அமைப்பில் பயனர்கள் அல்லது பிறமுறைமை  கள் சேவைகளை அணுகுவதற்கான வழிமுறைகளை வழங்கும் ஒரு மென்பொருள் அடுக்கு ஆகும். இது பயனர்கள் சேவைகளை எவ்வாறு பயன்படுத்தலாம் என்பதை வரையறுக்கிறது.
Service Mesh,சேவை மெய்ச்,"சேவை மெய்ச் என்பது ஒரு கணினி வலையமைப்பில் பல சேவைகளுக்கு இடையேயான தொடர்புகளை மேலாண்மை செய்யும் ஒரு தொழில்நுட்பமாகும். இது சேவைகளுக்கு இடையேயான போக்குவரத்து, பாதுகாப்பு, மேலாண்மை போன்ற செயல்பாடுகளை எளிதாக்குகிறது."
Service Model Operating System,சேவை மாதிரி இயக்க முறைமை,சேவை மாதிரி இயக்க முறைமை என்பது கணினி வள சேவைகளை வழங்குவதற்கான ஒரு கட்டமைப்பு ஆகும். இது பயனர்களின் தேவைகளை பூர்த்தி செய்ய கணினி வளங்களை ஒருங்கிணைக்கிறது.
Service Organization Control,சேவை அமைப்பின் கட்டுப்பாடு,"சேவை அமைப்பின் கட்டுப்பாடு என்பது ஒரு உருப்பொருள்  உள்கட்டமைப்பு, தரவுப் பாதுகாப்பு, மற்றும் கண்காணிப்பு ஆகியவற்றின் தரத்தை உறுதி செய்ய உதவும் ஒரு தகவல் தொழில்நுட்ப தரநிலையாகும். இது வாடிக்கையாளர்களின் தரவுகளை பாதுகாப்பாகப் பராமரிக்கும் நிறுவனங்களின் செயல்பாடுகளை ஆய்வு செய்கிறது."
Service Principal Name,சேவை தலைமை பெயர்,சேவை தலைமை பெயர் என்பது ஒரு கணினி வலையமைப்பில் ஒரு சேவையை அடையாளம் காண பயன்படும் ஒரு பெயர் முறைமையாகும். இது கெர்பரோஸ் பாதுகாப்பு நெறிமுறைகளில் முக்கிய பங்கு வகிக்கிறது.
Service Processor,சேவை செயலி,"சேவை செயலி என்பது ஒரு கணினி அமைப்பில் உள்ள ஒரு சிறிய கணினி, இது அமைப்பின் பராமரிப்பு மற்றும் செயல்பாட்டு செயல்பாடுகளை கண்காணிக்கிறது. 
இது அமைப்பின் வன்பொருள் மற்றும் மென்பொருள் கூறுகளின் செயல்பாட்டை கண்காணிக்க உதவுகிறது."
Service Provider,சேவை வழங்குநர்,"சேவை வழங்குநர் என்பவர் இணைய சேவைகளை வழங்கும் நிறுவனங்கள் அல்லது தனிநபர்கள், அவர்கள் பயனர்களுக்கு இணைய இணைப்பு, மின்னஞ்சல், வலைத்தள வெளியீடு போன்ற சேவைகளை வழங்குகிறார்கள். இவர்கள் பயனர்களின் தகவல்களை பாதுகாப்பதில் முக்கிய பங்கு வகிக்கிறார்கள்."
Serving Gateway,சேவை வாயில்,"சேவை வாயில் என்பது இணையம் மற்றும் மொபைல் நெட்வொர்க்கில் இயங்கும் ஒரு மையச் சாதனம் ஆகும், இது பயனர்களின் சேவைகளுக்கு அணுகலை மேலாண்மை செய்கிறது. இது தரவுகளை பாதுகாப்பாக பரிமாற்றம் செய்வதிலும் முக்கிய பங்கு வகிக்கிறது."
Session,அமர்வு,"அமர்வு என்பது ஒரு பயனர் ஒரு கணினி அல்லது வலைத்தளத்தில் உள்நுழைந்து செயல்படும் கால அளவைக் குறிக்கிறது, இதில் அவர் பல்வேறு செயல்பாடுகளைச் செய்யலாம். ஒரு அமர்வு தொடங்கும் போது, பயனரின் செயல்பாடுகள் பதிவு செய்யப்படுகின்றன மற்றும் பாதுகாப்பு நோக்கங்களுக்காக தரவுகள் சேகரிக்கப்படுகின்றன."
Session Description Protocol,அமர்வு விவரக்குறிப்பு,"அமர்வு விவரக்குறிப்பு என்பது இணையவழியிலான ஊடகப் பரிமாற்றங்களுக்கான ஒரு நெறிமுறையாகும், இது இரு தரப்பினரும் பயன்படுத்தும் பொருட்கள் மற்றும் குறியாக்கத்தை விவரிக்கிறது. இது வழக்கமாக வீடியோ கான்பரன்ஸிங் மற்றும் இணைய தொலைபேசி போன்ற பயன்பாடுகளில் பயன்படுத்தப்படுகிறது."
Session Hijack Attack,அமர்வு கடத்தல் தாக்குதல்,"அமர்வு கடத்தல் தாக்குதல் என்பது ஒரு கணினி அமர்வில் நடக்கும் போக்குவரத்தை தடுத்து, அந்த அமர்வின் கட்டுப்பாட்டை தாக்குபவர் கைப்பற்றும் செயல். இது பாதுகாப்பான தகவல் பரிமாற்றத்தை இடைமறித்து தவறான நடவடிக்கைகளை மேற்கொள்ள உதவுகிறது."
Session Initiation Protocol,அமர்வு தொடக்க விதிகள்,"அமர்வு தொடக்க விதிகள் என்பது இணையவழியாக தொலைபேசி அழைப்புகள், வீடியோ அழைப்புகள் மற்றும் மற்ற தொடர்பு சேவைகளை தொடங்கவும், மேலாண்மை செய்யவும் பயன்படும் ஒரு திறந்த மற்றும் தளர்த்தப்பட்ட நெறிமுறை ஆகும். இது இரு அல்லது அதற்கு மேற்பட்ட கணினிகளுக்கு இடையில் தொடர்பு ஏற்பாடு செய்ய உதவுகிறது."
set theory relationship mapping,தொகுப்புக் கோட்பாடு உறவு வரைபடம்,தொகுப்புக் கோட்பாடு உறவு வரைபடம் என்பது ஒரு சிக்கலான தரவுத்தொகுப்பில் உள்ள பல்வேறு கூறுகளுக்கு இடையிலான தொடர்புகளை வரைபடமாக சித்தரிக்கும் ஒரு முறையாகும். இது சைபъர் குற்றம் விசாரணையில் முக்கியமான தரவுகளை வெளிக்கொணர்வதற்கு உதவுகிறது.
Setting the bar,பட்டி அமைத்தல்,"பட்டி அமைத்தல் என்பது ஒரு குறிப்பிட்ட தரத்தை அல்லது எல்லையை நிர்ணயித்தல், இது செயல்திறன் அல்லது செயல்பாட்டின் அளவுகோலாக செயல்படுகிறது. சவால்களை சமாளிக்கும் போது இது ஒரு தொடக்க புள்ளியை வழங்குகிறது."
Set-User-ID,அமைக்கப்பட்ட பயனர் அடையாளங்காட்டி,"அமைக்கப்பட்ட பயனர் அடையாளங்காட்டி என்பது ஒரு கணினிப் பாதுகாப்பு வசதியாகும், இது ஒரு நிரல் அல்லது செயலி தற்காலிகமாக உயர் அதிகாரங்களைப் பெறுகிறது. இது ஒரு பயனர் சிறப்பு உரிமைகளுடன் செயல்பட அனுமதிக்கிறது."
Shadow Stack,நிழல் குவியல்,"நிழல் குவியல் என்பது ஒரு பாதுகாப்பு நுட்பமாகும், இது ஒரு தொடரியல் குவியலின் நடவடிக்கைகளை பின்பற்றி, தாக்குபவர்களின் செயல்பாடுகளைத் தடுக்க உதவுகிறது. இந்த நிழல் குவியல் முறை கணினி பாதுகாப்பை மேம்படுத்துவதில் முக்கிய பங்கு வகிக்கிறது."
Sharding,துண்டு துண்டு,"துண்டு துண்டு என்பது ஒரு தரவுத்தளத்தை பல சிறிய துண்டுகளாக பிரித்தல், இது தரவு சேமிப்பு மற்றும் மீட்டலை வேகப்படுத்துகிறது. இந்த முறை தரவுத்தளத்தின் செயல்திறனை மேம்படுத்துகிறது."
shared control,பகிரப்பட்ட கட்டுப்பாடு,பகிரப்பட்ட கட்டுப்பாடு என்பது ஒரு சிஸ்டத்தை அல்லது நெட்வொர்க்கை பலர் ஒன்றாக கட்டுப்படுத்தும் ஒரு முறையாகும். இதில் பல பயனர்கள் ஒரே நேரத்தில் அணுகல் உரிமை பெற்றிருக்கிறார்கள்.
Shared Secret,பகிரப்பட்ட ரகசியம்,"பகிரப்பட்ட ரகசியம் என்பது இருவருக்கு அல்லது அதற்கு மேற்பட்டவர்களுக்கு இடையே பகிரப்பட்ட ஒரு மறைக்கப்பட்ட தகவல் ஆகும், இது அவர்களின் அடையாளத்தை உறுதிப்படுத்துவதற்கு அல்லது ஒரு பாதுகாப்பான தொடர்பை நிறுவுவதற்கு பயன்படுத்தப்படுகிறது."
shared secret key,பகிரப்பட்ட இரகசிய விசை,"பகிரப்பட்ட இரகசிய விசை என்பது இரண்டு அல்லது அதற்கு மேற்பட்ட தரப்பினர் பகிர்ந்து கொள்ளும் ஒரு மறைக்கப்பட்ட குறியீடு, இது தகவல்களை பாதுகாப்பாக மற்றும் பாதுகாப்பான முறையில் பரிமாறிக்கொள்ள உதவுகிறது. இது நபர்களுக்கு இடையேயான பதட்டமற்ற தொடர்புக்கு அனுமதிக்கிறது."
Shared Service Provider,பகிரப்பட்ட சேவை வழங்குநர்,"பகிரப்பட்ட சேவை வழங்குநர் என்பது பல நிறுவனங்களுக்கு சேவைகளை வழங்கும் ஒரு நிறுவனம் ஆகும். இந்த சேவை வழங்குநர்கள் பல நிறுவனங்களுக்கு பாதுகாப்பு, வலையமைப்பு, மென்பொருள் போன்ற சேவைகளை வழங்குகிறார்கள்."
Shared Service Providers,பகிரப்பட்ட சேவை வழங்குநர்கள்,"பகிரப்பட்ட சேவை வழங்குநர்கள் என்பது பல நிறுவனங்களுக்கு சேவைகளை வழங்கும் நிறுவனங்கள், இதில் கணினி வளங்கள், தரவுத்தளங்கள், செய்தித் தொடர்பு ஆகியவற்றை பகிர்ந்து கொள்வது அடங்கும். இது நிறுவனங்களுக்கு செலவு மற்றும் நிர்வாகத்தை குறைக்க உதவுகிறது."
Shared Situational Awareness,நிலையை பகிர்ந்து கொள்வது,"நிலையை பகிர்ந்து கொள்வது என்பது இணைய குற்றம் தொடர்பான தகவல்களை பகிர்ந்து கொள்வது, இதில் குற்றம் நடக்கும் நிலைமைகள், குற்றவாளிகளின் நடத்தை போன்றவற்றை பகிர்ந்து கொள்வது அடங்கும்."
shielded enclosure,பாதுகாக்கப்பட்ட அடைப்பு,"பாதுகாக்கப்பட்ட அடைப்பு என்பது இணக்கமான காந்தப்புலங்களை தவிர்ப்பதற்கும், தனிப்பட்ட தகவல்களை பாதுகாப்பதற்கும் பயன்படும் ஒரு பிரத்யேக வசதியாகும். இது உணர்திறன் கொண்ட தகவல்களை பாதுகாப்பதில் முக்கிய பங்கு வகிக்கிறது."
Short Integer Solution,குறுகிய முழு எண் தீர்வு,குறுகிய முழு எண் தீர்வு என்பது ஒரு குறிப்பிட்ட நீளமுள்ள முழு எண்களின் தொகுப்பிலிருந்து ஒரு சரியான தீர்வைக் கண்டறியும் ஒரு கணினி பாதுகாப்பு சவாலாகும். இது பொதுவாக மறைப்பு மற்றும் முக்கிய மேலாண்மைமுறைமை  களில் பயன்படுத்தப்படுகிறது.
Short Message Service Chat,குறுகிய செய்தி சேவை அரட்டை,குறுகிய செய்தி சேவை அரட்டை என்பது ஒரு மொபைல் தொலைபேசியில் இருந்து மற்றொரு மொபைல் தொலைபேசிக்கு அனுப்பப்படும் ஒரு குறுகிய வார்த்தைத் தொடர்பு. இது பயனர்கள் ஒருவருக்கொருவர் தகவல்களை பரிமாறிக்கொள்ள உதவுகிறது.
Short Term Key,குறுகிய கால திறவுகோல்,குறுகிய கால திறவுகோல் என்பது ஒரு குறிப்பிட்ட கால இடைவெளிக்கு மட்டுமே பயன்படும் ஒரு பாதுகாப்பு குறியாகும். இது தற்காலிகமாகப் பயன்படுத்தப்படுகிறது மற்றும் பாதுகாப்பை மேம்படுத்துவதற்காக அடிக்கடி மாற்றப்படுகிறது.
short title,சுருக்கமான தலைப்பு,"சுருக்கமான தலைப்பு என்பது ஒரு வலைப்பதிவு அல்லது செய்தி தளத்தில் காணப்படும் ஒரு குறுகிய தலைப்பு ஆகும், இது பயனர்கள் விரைவாக பொன்னடியைப் புரிந்துகொள்ள உதவுகிறது. இது பொதுவாக ஒரு சொல் அல்லது இரு சொற்களால் ஆனது."
Shortest Independent Vector Problem,மிகக் குறுகிய சுயாதீன திசையன் சிக்கல் ,"மிகக் குறுகிய சுயாதீன திசையன் சிக்கல்  என்பது எண்கணித குறியீட்டியலில் பயன்படுத்தப்படும் ஒரு கணித சிக்கல் யாகும், இது லாட்டிஸ் எனப்படும் சீரொழுங்கான படிகங்களின் குறுக்கிய திசையன்களைக் கண்டறிதல். இந்த சிக்கல் யை தீர்க்கும் முறை பாதுகாப்பான எண்கணித முறைகளை உடைக்க பயன்படுத்தப்படுகிறது."
Shortest Vector Problem,மிகக் குறுகிய திசையன் சிக்கல் ,மிகக் குறுகிய திசையன் சிக்கல்  என்பது ஒரு குறிப்பிட்ட கணித அமைப்பில் மிகவும் குறுகிய திசையனைக் கண்டறிவதற்கான சிக்கலான பாதுகாப்பு சிக்கல் யாகும். இது பொதுவாக எண்கணித குறியாக்கம் மற்றும் பாதுகாப்புமுறைமை  களில் பயன்படுத்தப்படுகிறது.
short-term stability,குறுகிய கால நிலைத்தன்மை,"குறுகிய கால நிலைத்தன்மை என்பது ஒரு சிஸ்டத்தின் இடர் க்களை எதிர்கொள்ளும் திறனை விவரிக்கிறது, இது சீக்கிரமே ஏற்படும் சம்பவங்களை எதிர்கொள்வதில் முக்கியத்துவம் வாய்ந்தது. இது இணைய பாதுகாப்பில், தாக்குதல்களை எதிர்கொள்வதில் ஒரு முக்கிய கருத்தாகும்."
Sidechain,பக்கத் தொடர்,"பக்கத் தொடர் என்பது ஒரு குறிப்பிட்ட ப்ளாக்செயின் நெட்வொர்க்கிலிருந்து பிரிந்து, அதன் தன்னாட்சி முறையில் இயங்கும் ஒரு தன்னாட்சி ப்ளாக்செயின் ஆகும். இது முதன்மை ப்ளாக்செயினுடன் இணைக்கப்பட்டு பரிமாற்றங்களை உருவாக்க அனுமதிக்கிறது."
Side-Channel Attack,பக்க சேனல் தாக்குதல்,"பக்க சேனல் தாக்குதல் என்பது ஒரு பாதுகாப்பு அமைப்பின் பலவீனத்தை அதன் நேரடி பாதுகாப்பு அம்சங்களைத் தாக்குவதில்லாமல், அதன் செயல்பாட்டின் பக்கவிளைவுகளைப் பயன்படுத்தி தாக்குதல் நடத்தும் முறையாகும். இதில் வன்தட்டு அணுகல் நேரம், மின்னணு தகவல் பரிமாற்றம் போன்றவற்றில் ஏற்படும் சிறிய மாற்றங்களைக் கொண்டு தாக்குபவர்கள் தங்கள் தாக்குதலை நடத்துகிறார்கள்."
Signal Processing System,சமிக்ஞை செயலாக்கமுறைமை  ,"சமிக்ஞை செயலாக்கமுறைமை என்பது மின்னணு சமிக்ஞைகளை பகுப்பாய்வு செய்து, தேவையான தகவல்களை பிரித்தெடுக்கும் ஒரு கணினி அமைப்பாகும். இது ஒலிப்பதிவு, படங்கள், வீடியோ ஆகியவற்றை பகுப்பாய்வு செய்வதற்கு பயன்படுகிறது."
Signaling Radio Bearer,சமிக்ஞை ஒலிபரப்பு,"சமிக்ஞை ஒலிபரப்பு என்பது ஒரு மென்பொருள் அல்லது வன்பொருள் கணினி வலையமைப்பில் தகவல்களை பரப்பும் ஒரு செயல்முறை. இது குறியீடுகளை அனுப்புவதற்கும், பெறுவதற்கும் உதவுகிறது."
signaling rate,சமிக்ஞை விகிதம்,சமிக்ஞை விகிதம் என்பது ஒரு கணினி நெட்வொர்க்கில் தரவுகள் பரிமாற்றப்படும் வேகத்தைக் குறிக்கிறது. இது பிட்டுகள் பரிமாற்றப்படும் விகிதத்தை அளவிடுவதற்கான ஓர் அலகாகும்.
Signatory,கையெழுத்திடப்பட்டவர்கள்,கையெழுத்திடப்பட்டவர்கள் என்பவர்கள் எந்தவொரு ஆவணமோ அல்லது ஒப்பந்தமோ தொடர்பான கையெழுத்தினை அளித்து அதை உறுதிப்படுத்தும் நபர்கள் ஆவார்கள். இது சட்ட ரீதியாக அங்கீகரிக்கப்பட்ட கையெழுத்தின் மூலம் ஆவணத்தின் செல்லுபடியான தன்மையை உறுதி செய்கிறது.
signature,கையொப்பம்,"கையொப்பம் என்பது ஒரு கணினி வைரஸ் அல்லது தீங்குவிளைவிக்கும் நிரலின் தனித்துவமான அடையாளம், இது அதை அடையாளம் காணவும் கண்டறியவும் உதவுகிறது. இந்த கையொப்பம் பயன்படுத்தப்படுகிறது தீங்குவிளைவிக்கும் நிரல்களை தடுக்க அல்லது அகற்றுவதற்கு."
Signature Block Header,கையொப்பம் தொகுப்பு தலைப்பு,"கையொப்பம் தொகுப்பு தலைப்பு என்பது ஒரு மென்பொருள் அல்லது கணினி நிரலின் தொடக்கத்தில் காணப்படும் ஒரு தலைப்பு ஆகும், இது அந்த நிரல் அல்லது மென்பொருளின் கையொப்பத்தைக் குறிக்கிறது. இது பொதுவாக நிரலாக்க மொழி, தொகுப்பி பதிப்பு மற்றும் நிரல் விவரங்களைக் கொண்டுள்ளது."
signature certificate,கையொப்ப சான்றிதழ்,"கையொப்ப சான்றிதழ் என்பது ஒரு தனிநபர் அல்லது உருப்பொருள்  மின்னஞ்சல் அல்லது மின்னணு ஆவணங்களில் உள்ள அடையாளத்தை உறுதிப்படுத்த பயன்படும் மின்னணு சான்றிதழ் ஆகும். இது ஒரு பாதுகாப்பு அம்சமாக செயல்படுகிறது, இது ஒரு தனிநபர் அல்லது உருப்பொருள்  மின்னஞ்சல் அல்லது ஆவணங்களை போலி அடையாளம் காண்பதை தடுக்க உதவுகிறது."
Signature generation,கையொப்பம் உருவாக்குதல்,கையொப்பம் உருவாக்குதல் என்பது ஒரு மல்வேர் அல்லது தாக்குதல் நுட்பத்தை அடையாளம் கண்டு அதன் குணாட்டியல்களை ஆவணப்படுத்தும் செயல்முறையாகும். இது எதிர்காலத்தில் அத்தகைய தாக்குதல்களை எதிர்கொள்ள உதவுகிறது.
Signature ID,கையொப்ப அடையாளம்,"கையொப்ப அடையாளம் என்பது ஒரு கணினி வைரஸ் அல்லது ஊடுருவும் நிரலின் தனித்துவமான அம்சத்தைக் குறிக்கிறது, இது பாதுகாப்பு மென்பொருள் அதன் உள்ளடக்கத்தை அடையாளம் காண உதவுகிறது. இது வைரஸ் அல்லது மல்வேரின் குறிப்பிட்ட குணாதிசயங்களை அடையாளப்படுத்த பயன்படுகிறது."
Signature validation,கையொப்பம் செல்லுபடியாகும்,கையொப்பம் செல்லுபடியாகும் என்பது ஒரு மென்பொருள் அல்லது கோப்பு தனது இயல்பு நிலையில் இருப்பதை உறுதிப்படுத்துவதற்கான ஒரு செயல்முறையாகும். இது தாக்குதல்களிலிருndந்து பாதுகாப்பதை நோக்கமாகக் கொண்டுள்ளது.
Signature verification,கையொப்பத்தை சரிபார்க்கவும்,"கையொப்பத்தை சரிபார்க்கவும் என்பது ஒரு ஆவணமோ அல்லது மென்பொருள் தகவலோ அங்கீகரிக்கப்பட்ட து மற்றும் அந்தந்த ஆதாரத்திலிருந்து வந்தது என உறுதிப்படுத்துவதற்கான செயல்முறையாகும். இது தவறான அடையாளங்களைத் தடுப்பதற்கும், பாதுகாப்பை உறுதிப்படுத்துவதற்கும் முக்கியமானதாகும்."
Signature-in-question,கேள்விக்குரிய கையொப்பம்,"கேள்விக்குரிய கையொப்பம் என்பது ஒரு மென்பொருள் அல்லது கணினி நிரலில் உள்ள ஒரு தனித்துவமான அடையாளம் அல்லது குறியீடு, அது தாக்குதல் அல்லது தவறான செயல்பாட்டை அடையாளம் காண உதவுகிறது. இந்த கையொப்பம் பொதுவாக ஒரு மல்வேர் அல்லது தாக்குதல் நிரலின் இயல்புகளை விவரிக்கிறது."
Signed data,கையொப்பமிடப்பட்ட தரவு,"கையொப்பமிடப்பட்ட தரவு என்பது ஒரு தனிப்பட்ட அல்லது உருப்பொருள்  மின்னணு கையொப்பத்தைக் கொண்ட தரவுகள், இது தரவின் பொருள் மற்றும் அதை அனுப்புபவரை உறுதிப்படுத்துவதற்கு பயன்படுகிறது.
இது தரவுகளின் தன்மை மற்றும் பாதுகாப்பை உறுதிப்படுத்துவதில் முக்கியமான பங்கு வகிக்கிறது."
Signed Response,கையெழுத்திட்ட பதில்,கையெழுத்திட்ட பதில் என்பது ஒரு செயல்முறையில் அல்லது தொடர்பில் பாதுகாப்பான முறையில் அதிகாரப்பூர்வமாக அங்கீகரிக்கப்பட்ட பதில் அல்லது செய்தி ஆகும். இது பொதுவாக மூலப் பக்கங்களில் இருந்து தரவுகளை பாதுகாப்பாக பெறுவதற்கு பயன்படுத்தப்படுகிறது.
Signed Zone,கையொப்பமிடப்பட்ட பகுதி,"கையொப்பமிடப்பட்ட பகுதி என்பது ஒரு பாதுகாப்பு வலயத்தைக் குறிக்கிறது, இதில் அனைத்து தரவுகளும் பாதுகாப்பாக மற்றும் பொறுப்பாக அனுப்பப்படுகின்றன. இது தாக்குதல்களிலிருந்து பாதுகாப்பை வழங்குகிறது."
significant consequences,முக்கிய விளைவுகள்,"முக்கிய விளைவுகள் என்பது இணைய குற்றங்கள் அல்லது தப்புநடத்தைகளின் விளைவாக ஏற்படும் பெரும் அளவிலான தீங்குகள் அல்லது இழப்புகள். இது ஒரு நபர், நிறுவனம் அல்லது நாட்டின் பாதுகாப்பு, புகழ் அல்லது பொருளாதாரத்திற்கு பெரும் அச்சுறுத்தலை ஏற்படுத்தும்."
significant cybersecurity or privacy responsibilities,முக்கிய இணைய பாதுகாப்பு அல்லது தனியுரிமை பொறுப்புகள்,"முக்கிய இணைய பாதுகாப்பு அல்லது தனியுரிமை பொறுப்புகள் என்பது ஒரு நிறுவனம் அல்லதுமுறைமை தனது இணையம் மற்றும் தரவுத்தளங்களை பாதுகாப்பாக வைத்திருப்பதற்கும், தனிநபர்களின் தனியுரிமையைப் பாதுகாப்பதற்கும் ஏற்படுத்தப்படும் விதிமுறைகள் மற்றும் நடைமுறைகளைக் குறிக்கிறது. இது தகவல் திருட்டு, தாக்குதல் மற்றும் தனியுரிமை மீறல்களிலிருந்து பாதுகாப்பதை நோக்கமாகக் கொண்டுள்ளது."
Silicon Provider,சிலிக்கன் வழங்குநர்,"சிலிக்கன் வழங்குநர் என்பவர் சிலிக்கான் சிப்புகளை உருவாக்கும் அல்லது விற்கும் நிறுவனங்கள் ஆவர். இவர்கள் கணினி சிப்புகள், மடிக்கணினிகள், சுமார்த்தோன்கள் போன்ற மின்னணு சாதனங்களில் பயன்படும் சிலிக்கான் சிப்புகளை வடிவமைத்தல், உற்பத்தி செய்தல் மற்றும் விற்பனை செய்வதில் ஈடுபடுகின்றனர்."
Similarity,ஒத்தமை,ஒத்தமை என்பது இரண்டு அல்லது அதற்கு மேற்பட்ட கணினி கோப்புகள் அல்லது தரவுகளின் ஒற்றுமை அல்லது ஒத்த தன்மையை விவரிக்கிறது. இது இணைய குற்றம் விசாரணையில் முக்கியமானதாகும்.
Similarity digest,ஒத்த தன்மை,"ஒத்த தன்மை என்பது இரண்டு கோப்புகளுக்கு இடையே உள்ள ஒற்றுமையை அளவிடும் ஒரு முறை, இது தாக்குதல் நடவடிக்கைகளைக் கண்டறிவதிலும், மெல்வட்டமுறைமை  களைப் பாதுகாப்பதிலும் பயன்படுகிறது. இது கோப்புகளின் உள்ளடக்கத்தை விளக்குவதற்கு ஒரு எண்ணிக்கையை உருவாக்குகிறது."
Similarity function,ஒத்த தன்மை செயல்பாடு,ஒத்த தன்மை செயல்பாடு என்பது இரு கணினி கோப்புகள் அல்லது தரவுத்தளங்களின் ஒத்த தன்மையை அளவிடுவதற்கான ஒரு கணித செயல்பாடாகும். இது தாக்குதல் நடவடிக்கைகளைக் கண்டறிவதில் பயன்படுத்தப்படுகிறது.
Simple Key Loader,எளிய திறவுகோல் ஏற்றி,"எளிய திறவுகோல் ஏற்றி என்பது ஒரு கணினி அல்லது பிற பாதுகாப்புமுறைமை  களில் செயலி சாவிகளை உருவாக்கும் அல்லது ஏற்றும் ஒரு செயல்முறை ஆகும். இது பாதுகாப்பு நோக்கங்களுக்காகவும், கணினி மோசடி தடுப்புக்கும் பயன்படுகிறது."
Simple Name Server,எளிய பெயர் சேவையகம்,எளிய பெயர் சேவையகம் என்பது ஆள்கள் நினைவுக்கு வரும் வகையில் இணையதளங்களின் முகவரிகளை எளிய பெயர்களாக மாற்றும் ஒரு சேவையகம் ஆகும். இது வழங்கும் சேவையினால் முகவரிகளை எளிதாக நினைவில் வைத்துக்கொள்ளலாம்.
Simple Network Time Protocol,எளிய வலையமைப்பு நேர நெறிமுறை,எளிய வலையமைப்பு நேர நெறிமுறை என்பது கணினிகள் மற்றும் சாதனங்களின் நேரத்தை ஒருங்கிணைக்க உதவும் ஒரு நெறிமுறையாகும். இது இணையத்தில் உள்ள அனைத்து சாதனங்களும் ஒரே நேரத்தைக் கொண்டிருக்க உதவுகிறது.
Simple Object Access Protocol,எளிய பொருள் அணுகல் நெறிமுறை,எளிய பொருள் அணுகல் நெறிமுறை என்பது இணையத்தில் தரவுகளைப் பரிமாறிக்கொள்ள பயன்படும் ஒரு நெறிமுறையாகும். இது XML வழியாக செய்திகளை பரிமாற்றம் செய்ய உதவுகிறது.
