English Term,Tamil Term,Explanation,english_description
virtual smart card,மெய்நிகர் நுண்ணறிவு அட்டை  ,"மெய்நிகர் நுண்ணறிவு அட்டை   என்பது ஒரு மென்பொருள் ஆகும், இது ஒரு அங்கீகரிக்கப்பட்ட  நுண்ணறி அட்டையைப் போலவே செயல்படுகிறது, ஆனால் இது ஒரு இயக்கவைக்கப்பட்ட சாதனத்தில் உருவாக்கப்பட்டுள்ளது. இது பாதுகாப்பான வழியில் அடையாளத்தை உறுதிப்படுத்தவும், பாதுகாப்பான பரிவர்த்தனைகளை மேற்கொள்ளவும் பயன்படுத்தப்படுகிறது.","A Virtual Smart Card is a piece of software that works like a real smart card, but is built into a powered device.It is used to confirm identity in a secure way and carry out secure transactions."
virtual tape library,மெய்நிகர் ஒலிக்கட்டு களஞ்சியம் ,"மெய்நிகர் ஒலிக்கட்டு களஞ்சியம்  என்பது டேட்டா பிரதி எடுப்பதற்கும், சேமிப்பதற்கும் பயன்படும் ஒரு சேமிப்பகம் அமைப்பாகும், இது பாரம்பரிய டேப் நூலகங்களைப் போலவே செயல்படுகிறது, ஆனால் அதன் செயல்திறன் மற்றும் நன்மைகளை மேம்படுத்துவதற்கு டிஸ்க் சேமிப்பகம்டன் இணைக்கப்பட்டுள்ளது. 
இது டேட்டா நகலெடுத்தல் மற்றும் மீட்டெடுப்பு செயல்முறைகளை வேகப்படுத்துகிறது மற்றும் குறைந்த செலவில் சேமிப்பகம் தேவைகளைப் பூர்த்தி செய்கிறது.","A Virtual Tape Library is a storage system used for data replication and storage that works like traditional tape libraries but is combined with disk storage to improve its performance and benefits.
It speeds up data replication and recovery processes and meets storage needs at a low cost."
virtualization,மெய்நிகராக்கம்,"மெய்நிகராக்கம் என்பது ஒரு கணினியின் வளங்களை பகிர்ந்தளித்தல், இது பல மெய்நிகர் கணினிகளை உருவாக்க உதவுகிறது. இது கணினி வன்பொருளை மெய்நிகராக்க உதவுகிறது, இதனால் பாதுகாப்பு மற்றும் கட்டுப்பாடு மேம்படுகிறது.","Virtualization is the sharing of a computer's resources, which enables the creation of multiple virtual computers.It helps virtualize computer hardware, thus improving security and control."
virtualized host,மெய்நிகர்ப்படுத்தப்பட்ட புரவலன்,மெய்நிகர்ப்படுத்தப்பட்ட புரவலன் என்பது ஒரு கணினி அமைப்பை மெய்நிகராக்கப்பட்ட சூழலில் இயக்கப்படும் ஒரு வழங்கியாகும். இது பல மெய்நிகர் இயந்திரங்களை ஒரே போர்டுகளில் இயக்க உதவுகிறது.,A virtualized host is a host that runs a computer system in a virtualized environment.It enables multiple virtual machines to run on the same boards.
virtualized network interface,மெய்நிகர் இணைய யமைப்பு இடைமுகம்,"மெய்நிகர் இணைய யமைப்பு இடைமுகம் என்பது ஒரு கணினி இணைய யமைப்பில் மெய்நிகராகக் கட்டமைக்கப்பட்ட ஒரு இடைமுகம் ஆகும், இது பல சாதனங்களுக்கு இடையே தரவு பரிமாற்றத்தை எளிதாக்குகிறது. இது பாதுகாப்பை மேம்படுத்தவும், இணைய யமைப்பு நிர்வாகத்தை எளிதாக்கவும் உதவுகிறது.",A virtualized network interface is an interface built virtually on a computer network that facilitates data transfer between multiple devices.It helps improve security and simplify network management.
virtual-led,மெய்நிகர் வழிநடத்தப்பட்ட,"மெய்நிகர் வழிநடத்தப்பட்ட என்பது இணையம் மூலம் தொலைதூரமாக கணினி அல்லது மற்ற சாதனங்களை கட்டுப்படுத்தும் முறையாகும். இது சமூக இணைய த்தளங்கள், மெய்நிகர் சூழல்கள் போன்றவற்றில் பயன்படுத்தப்படுகிறது.","virtual-led is a method of controlling computers or other devices remotely over the Internet.It is used in social websites, virtual environments etc."
visibility,தெரிவுநிலை,"தெரிவுநிலை என்பது இணையத்தில் ஒரு தகவல் அல்லது கோப்பு எத்தனை பேர் அணுகத்தக்க  சூழ்நிலை விழிப்புணர்வைக் குறிக்கிறது. ஒரு தகவலின் தெரிவுநிலை மிகவும் முக்கியமானது, ஏனெனில் அது தகவல் பாதுகாப்பு மற்றும் காப்புரிமையை நேரடியாக பாதிக்கிறது.",Visibility refers to how accessible an information or file is to people on the Internet.Visibility of an information is very important because it directly affects information security and copyright.
visual,காட்சி,காட்சி என்பது கணினியில் பயனர்கள் பார்க்கும் ஒரு காட்சிப்படம் அல்லது வீடியோ ஆகும். இது பயனர்களின் கணினி திரையில் தெரியும் ஒரு படம் அல்லது அசைவூட்டம் ஆகும்.,A visual is a visual image or video that users see on a computer.It is an image or animation that appears on the user's computer screen.
voice of the adversary,எதிரிசை ,எதிரிசை  என்பது ஒரு கொடிய நபர் அல்லது குழுவின் கண்ணோட்டம் மற்றும் அவர்களின் தாக்குதல் உத்திகளைப் பற்றி புரிந்துகொள்வதைக் குறிக்கிறது. இது ஆக்கிரமிப்புகளை எதிர்கொள்வதற்கு பாதுகாப்பு நிபுணர்கள் பயன்படுத்தும் ஒரு முறையாகும்.,Voice of the Adversary refers to the perspective of a deadly individual or group and understanding of their attack strategies.It is a method used by security professionals to counter attacks.
volatile data,நிலையற்ற தரவு,"நிலையற்ற தரவு என்பது கணினி நினைவகத்தில் தற்காலிகமாக சேமிக்கப்படும் தகவல்கள் ஆகும், இது கணினி அல்லது சாதனம் ஆப் செய்யப்படும்போது அழிக்கப்படும். இதில் தற்போதைய பயனர் செயல்பாடுகள், தற்போது திறந்துள்ள பயன்பாடுகள் போன்றவை அடங்கும்.","Volatile data is information stored temporarily in computer memory that is erased when the computer or device is turned off.This includes current user activities, currently open applications, etc."
volatile memory,நிலையற்ற நினைவகம்,"நிலையற்ற நினைவகம் என்பது கணினியில் தற்காலிகமாக தரவுகளை சேமிக்கும் ஒரு வகை நினைவகம், இது கணினி அதிகாரப்பூர்வமாக மூடப்பட்டால் அல்லது மின்சாரம் துண்டிக்கப்பட்டால் தரவு இழக்கப்படும். இது ரேம் நினைவகம் என்றும் அழைக்கப்படுகிறது.","Volatile memory is a type of memory that temporarily stores data on a computer, which can be lost if the computer is officially shut down or the power is turned off.It is also known as RAM memory."
vulnerability analysis,நலிவுறுநிலை பகுப்பாய்வு,"நலிவுறுநிலை பகுப்பாய்வு என்பது ஒரு கணினிமுறைமை அல்லது வலையமைப்பில்  இருக்கக்கூடிய பலவீனங்களை அல்லது பாதிப்புகளை ஆராய்ந்து, அவற்றை பயன்படுத்தி தாக்குபவர்களால் ஏற்படுத்தப்படக்கூடிய தீங்குகளை முன்கூட்டியே கண்டறிந்து தடுக்கும் செயல்முறையாகும். இது கணினி பாதுகாப்பை மேம்படுத்துவதில் மிக முக்கியமான ஒரு பகுதியாகும்.",Vulnerability analysis is the process of analyzing possible weaknesses or vulnerabilities in a computer system or network to detect and prevent harm that could be caused by attackers using them.This is a very important part of improving computer security.
vulnerability and exposure,நலிவுறுநிலை மற்றும் வெளிப்பாடு ,"நலிவுறுநிலை மற்றும் வெளிப்பாடு  என்பது ஒரு கணினிமுறைமை அல்லது வலையமைப்பில்  இருக்கும் ஒரு பாதுகாப்பு ஆபத்து அல்லது வாய்ப்பு, இது தாக்குபவர்கள் அமைப்பை சுரண்டுவதற்கு வழிவகுக்கும். இது பாதுகாப்புமுறைமை  களின் செயலிழப்பு அல்லது பற்றாக்குறை காரணமாக ஏற்படுகிறது.",Vulnerability and Exposure is a security risk or opportunity that exists in a computer system or network that may allow attackers to exploit the system.This is due to malfunction or lack of security systems.
vulnerability assessment,நலிவுறுநிலை மதிப்பாடு ,"நலிவுறுநிலை மதிப்பாடு  என்பது ஒரு கணினிமுறைமை அல்லது இணைய த்தளத்தில் இருக்கும் பாதுகாப்பு ஆபத்துகளை ஆராய்ந்து, அவற்றை தீர்க்கும் செயல்முறையாகும். இது கணினிமுறைமை  களை தாக்குபவர்களிடமிருந்து பாதுகாப்பத�்கு உதவுகிறது.",Vulnerability assessment is the process of analyzing and addressing security risks in a computer system or website.It helps protect computer systems from attackers.
vulnerability disclosure policy,நலிவுறுநிலையை வெளிப்படுத்தும் கொள்கை ,"நலிவுறுநிலையை வெளிப்படுத்தும் கொள்கை  என்பது ஒரு நிறுவனமோ அல்லது ஒரு தயாரிப்போ தங்கள் பாதுகாப்பு பிழைகளை பற்றி பொதுமக்களுக்கும், பாதுகாப்பு ஆராய்ச்சியாளர்களுக்கும் எவ்வாறு தெரிவிக்க வேண்டும் என்று வரையறுக்கும் ஒரு செயல்முறையாகும். இது பாதுகாப்பு பிழைகளை சரிசெய்ய உதவுகிறது மற்றும் பயனர்களின் பாதுகாப்பை பாதுகாக்கிறது.",A Vulnerability Disclosure Policy is a process that defines how a company or a product should inform the public and security researchers about their security vulnerabilities.It helps fix security bugs and protects users' security.
vulnerability disclosure program office,நலிவுறுநிலையை வெளிப்படுத்தும் திட்ட அலுவலகம் ,"நலிவுறுநிலையை வெளிப்படுத்தும் திட்ட அலுவலகம்  என்பது ஒரு உருப்பொருள்  கணினிமுறைமை  களில் உள்ள பாதுகாப்பு வளவுகளை அடையாளம் கண்டு, அவற்றை நிவர்த்தி செய்ய உதவும் ஒரு செய்திட்ட ம் ஆகும். இது கணினிமுறைமை  களின் பாதுகாப்பை மேம்படுத்துவதில் முக்கிய பங்கு வகிக்கிறது.",The Vulnerability Disclosure Program Office is a program that helps identify and address security vulnerabilities in an organization's computer systems.It plays an important role in improving the security of computer systems.
vulnerability management,நலிவுறுநிலை மேலாண்மை ,"நலிவுறுநிலை மேலாண்மை  என்பது ஒரு கணினிமுறைமை அல்லது வலையமைப்பில்  இருக்கும் பலவீனங்களை கண்டறிந்து, அவற்றை தீர்ப்பதன் மூலம் குறிப்பிட்ட அமைப்பை தாக்கும் அபாயங்களை தடுக்கும் செயல்முறையாகும். இது கணினி அமைப்பின் பாதுகாப்பை உறுதி செய்வதில் முக்கிய பங்கு வகிக்கிறது.",Vulnerability Management is the process of identifying weaknesses in a computer system or network and preventing risks from attacking that particular system by addressing them.It plays an important role in ensuring the security of the computer system.
vulnerability scanner,நலிவுறுநிலை உள்வாங்குல் ,"நலிவுறுநிலை உள்வாங்குல்  என்பது ஒரு கணினி அமைப்பில் உள்ள பாதுகாப்பு ஆபத்துகளையும் பலவீனங்களையும் கண்டறியப் பயன்படும் ஒரு கருவி. இது அமைப்பின் பாதுகாப்பை சோதித்து, எதிர்காலத்தில் ஏற்படக்கூடிய தாக்குதல்களை தடுக்க உதவுகிறது.",A vulnerability scanner is a tool used to detect security risks and weaknesses in a computer system.It tests the security of the system and helps prevent future attacks.
warm site,எச்சரிக்கைத்தளம் ,"எச்சரிக்கைத்தளம்  என்பது ஒரு இடைக்கால தளம் ஆகும், இது பயனர்களின் தரவு மற்றும்முறைமை  களை பாதுகாப்பாகச் சேமித்து வைப்பதற்கும், தேவைப்படும்போது விரைவாக செயல்படுத்துவதற்கும் பயன்படுத்தப்படுகிறது. இது இயங்கும் தளத்திற்கும், குளிர் தளத்திற்கும் இடையில் உள்ள ஒரு நிலையாகும்.",A warm site is an interim site that is used to securely store users' data and settings and quickly activate them when needed.It is a stage between the running platform and the cold platform.
watering hole attack,நீர் துளை தாக்குதல்,"நீர் துளை தாக்குதல் என்பது ஒரு வகை சமூக பொறியியல் தாக்குதல், இதில் தாக்குபவர்கள் ஒரு குறிப்பிட்ட இலக்கு குழுவினர் அடிக்கடி பார்வையிடும் இணைய த்தளத்தை நிர்வகித்து, அவர்களின் சாதனங்களில் தவறுகளை ஏற்படுத்தும் மென்பொருள்களை நிறுவுகிறார்கள். இது பொதுவாக மைக்ரோசாஃப்ட், கூகிள் போன்ற பிரநிலைத்தன்மை  இணைய த்தளங்களில் நடைபெறுகிறது.","A watering hole attack is a type of social engineering attack in which attackers manage a website that is frequented by a specific target group and install software that causes errors on their devices.This usually takes place on popular websites like Microsoft, Google etc."
weakest judgment algorithm,பலவீனமான தீர்ப்பு வழிமுறை,"பலவீனமான தீர்ப்பு வழிமுறை என்பது ஒரு கணினி அல்காரிதம் அல்லது மென்பொருள்முறைமை  , தாக்குபவர்களால் எளிதில் கண்டறியப்பட்டு சுரண்டப்படும் வாய்ப்புள்ள ஒரு பாதுகாப்பு ஆபத்துபாடு. இது பொதுவாக மென்பொருள் வடிவமைப்பில் ஏற்படும் பலவீனங்கள் அல்லது குறைபாடுகள் காரணமாக ஏற்படுகிறது.",weakest judgment algorithm A computer algorithm or software system has a security vulnerability that is easily detected and exploited by attackers.This is usually caused by weaknesses or flaws in the software design.
weakly bound credentials,பலவீனமான அங்கீகாரங்கள் ,பலவீனமான அங்கீகாரங்கள்  என்பது ஒரு நபரின் கணினி அல்லது இணைய கணக்குகளின் பாதுகாப்பு அளவுகள் மிகவும் எளிதாகவோ அல்லது பலவீனமாகவோ இருப்பதாகும். இது தாக்குபவர்கள் எளிதாக அந்தக் கணக்குகளுக்குள் நுழைய உதவுகிறது.,Weakly Bound Credentials means that the security levels of a person's computer or Internet accounts are too easy or too weak.This makes it easier for attackers to get into those accounts.
weapons system,ஆயுதமுறைமை  ,"ஆயுதமுறைமை என்பது கணினி மற்றும் இணையத்தைப் பயன்படுத்தி தாக்குதல் நடத்துவதற்கும், தகவல்களை திருடுவதற்கும் பயன்படுத்தப்படும் மென்பொருள்கள் மற்றும் தொழில்நுட்பங்களின் தொகுப்பாகும். இது இணைய தீவிரவாதிகள் பயன்படுத்தும் ஒரு ஆபத்தான கருவியாகும்.",A Weapons System is a collection of software and technologies used to attack and steal information using computers and the Internet.It is a dangerous tool used by cyber terrorists.
web application and api protection,இணைய  பயன்பாடு மற்றும் செயலி நிரலாக்க இடைமுகம் பாதுகாப்பு,"இணைய  பயன்பாடு மற்றும் செயலி நிரலாக்க இடைமுகம் பாதுகாப்பு என்பது இணைய த்தளங்களில் செயல்படும் பயன்பாடுகளையும், செயலி நிரலாக்க இடைமுகங்களையும் (API) தாக்குதல்களில் இருந்து பாதுகாப்பதற்கான செயல்முறைகள் மற்றும் தொழில்நுட்பங்கள். இது தரவுகளின் பாதுகாப்பு, செயல்திறன் மேம்பாடு மற்றும் பயனர் அனுபவத்தை மேம்படுத்துவதற்கு முக்கியமானது.","web application and API protection are processes and technologies for protecting applications and application programming interfaces (APIs) running on websites from attacks.This is important for data security, performance improvement and improving user experience."
web application archive,இணைய பயணப்பட்டு ஆவணம் ,"இணைய பயணப்பட்டு ஆவணம்  என்பது ஒரு இணைய த்தளத்தின் அல்லது இணைய ப்பயன்பாட்டின் மூலக்குறியீடு, வடிவமைப்பு, மற்றும் செயல்பாட்டுக் குறியீட்டுத்தாள்களைக் கொண்ட ஒரு தொகுப்பு ஆகும். இது ஒரு இணைய ப்பயன்பாட்டை உருவாக்குவதற்கு அல்லது பராமரிப்பதற்கு அவசியமான அனைத்துக் கோப்புகளையும் ஒருங்கிணைக்கிறது.","A Web Application Archive is a collection containing the source code, design, and functional notes of a website or web application.It integrates all the files necessary to build or maintain a web application."
web application firewall,இணைய பயணப்பட்டு தீநிரல்  ,"இணைய பயணப்பட்டு தீநிரல்   என்பது இணைய பயன்பாடுகளை தாக்கும் இணைய தாக்குதல்களில் இருந்து பாதுகாக்கும் ஒரு பாதுகாப்பு அம்சமாகும். இது இணையப் பயன்பாட்டுக்கும் இணையத்துக்கும் இடையில் அமைக்கப்பட்டு, தாக்குதல் நடவடிக்கைகளைத் தடுக்கிறது.","Web Application Firewall is a security feature that protects web applications from cyber attacks.It sits between the web application and the internet, preventing attack activities."
web application proxy,இணைய பயணப்பட்டு பிரதிநிதி ,"இணைய பயணப்பட்டு பிரதிநிதி  என்பது ஒரு இணைய த்தள பயன்பாட்டை அணுகுவதற்கு ஒரு முன்னால் அமைக்கப்பட்ட தொடர்பு ஆகும். இது பாதுகாப்பை மேம்படுத்துவதற்கும், தாக்குதல்களிலிருந்து பயன்பாட்டைப் பாதுகாப்பதற்கும் உதவுகிறது.",Web Application Proxy is a pre-set connection to access a web application.This helps to improve security and protect the application from attacks.
web archive,இணைய ஆவணங்கள்,"இணைய ஆவணங்கள் என்பது காலப்போக்கில் இணையத்தில் வெளியிடப்பட்ட தரவுகளை உள்நிழைவு செய்து, பின்னர் அணுகத்தக்க  வகையில் வைக்கப்படும் ஒரு சேமிப்பகம் முறையாகும். இது இணையப்பக்கங்களின் முந்தைய பதிப்புகளைப் பார்ப்பதற்கு உதவுகிறது.",A Web Archive is a storage method that records data published on the Internet over time and keeps it accessible for later.It enables you to view previous versions of web pages.
web browser,இணைய உலாவி,"இணைய உலாவி என்பது கணினியில் இணையத்தை அணுகி, இணைய ப்பக்கங்களைப் பார்க்கவும், ஆவணங்களைக் காட்சிப்படுத்தவும் பயன்படும் ஒரு மென்பொருள் அல்லது பயன்பாடு. இது பயனர்கள் இணையத்தில் சுற்றித்திரியவும், தகவல்களைச் சேகரிக்கவும், பக்கங்களைப் பார்க்கவும் உதவுகிறது.","A Web Browser is a software or application used on a computer to access the Internet, view web pages, and display documents.It enables users to browse the web, gather information and view pages."
web bug,இணைய  பிழை,"இணைய  பிழை என்பது ஒரு எளிய பிம்பம் அல்லது குறியீடு, இது ஒரு இணைய ப்பக்கத்தில் ஒரு பயனர் பார்வைக்கு தெரியாமல் அனுப்பப்படுகிறது, பயனரின் தனிநபர் தகவல்களை சேகரிக்க பயன்படுத்தப்படுகிறது. 
இது சில சமயங்களில் டிராக்கிங் குறியீடு அல்லது குறுக்கு-சேமிப்பகம் குறியீடு என்றும் அழைக்கப்படுகிறது.","A web bug is a small image or code that is sent to a web page without a user's knowledge, used to collect the user's personal information.
It is also sometimes called a tracking code or a cross-storage code."
web portal,இணைய வலைவாசல் ,"இணைய வலைவாசல்  என்பது பல தகவல்களை ஒரே இடத்தில் கிடைக்க செய்யும் ஒரு மென்பொருள்முறைமை ஆகும். பயனர்கள் இதன் மூலம் தேவையான தகவல்கள், சேவைகள் மற்றும் வளங்களை எளிதாக அணுகலாம்.","A Web Portal is a software system that makes a lot of information available at one place.Users can easily access required information, services and resources through this."
web proxy auto discovery,வலை பிரதிநிதியை தானாக  கண்டறிதல் ,"வலை பிரதிநிதியை தானாக  கண்டறிதல்  என்பது ஒரு கணினி இணைய த்தளத்தில் ஒரு பிராக்சி சர்வரை தானாகவே கண்டுபிடித்து அதன் மூலம் இணைய த்தளங்களுக்கு அணுகலை மேற்கொள்வதற்கான செயல்முறையாகும். இது பயனர்களின் அடையாளங்களை மறைக்கவும், இணைய  பாதுகாப்பை மேம்படுத்தவும் உதவுகிறது.",Web Proxy Auto Discovery is the process of automatically discovering a proxy server on a computer website and accessing websites through it.It helps hide user identities and improve web security.
web security appliance,இணைய பாதுகாப்பு சாதனம்,"இணைய பாதுகாப்பு சாதனம் என்பது ஒரு இணைய த்தளத்தை அல்லது நெட்வொர்க்கை ஆக்கிரமிப்பு, தாக்குதல், மற்றும் தரவு திருட்டு போன்ற இணைய அச்சுறுத்தல்களில் இருந்து பாதுகாக்கும் ஒரு சாதனமாகும். இது நுழைவாயில் பாதுகாப்பு, தீச்செயலி தடுப்பு, மற்றும் எந்திர முறையிலான தாக்குதல் தடுப்பு ஆகியவற்றை உள்ளடக்கியது.","A Web Security Appliance is a device that protects a website or network from cyber threats such as hacking, hacking, and data theft.It includes gateway security, firewall prevention, and machine-based attack prevention."
web server,இணைய சேவையகம்,"இணைய சேவையகம் என்பது இணையத்தில் வெளியிடப்பட்டுள்ள இணைய ப்பக்கங்களை மற்றும் பிற தரவுகளை பயனர்களுக்கு வழங்க உதவும் ஒரு கணினிமுறைமை  . இது இணைய த்தளங்களை ஹோஸ்ட் செய்து, பயனர்களின் தேவை களுக்கு பதிலளிக்கும்.",A Web Server is a computer system that serves web pages and other data published on the Internet to users.It hosts websites and responds to users' requests.
web server administrator,இணைய  சேவையக நிர்வாகி,"இணைய  சேவையக நிர்வாகி என்பவர் ஒரு இணைய ச்சேவையகத்தை நிர்வகிக்கும் நபர் ஆவார், அவர் இணைய த்தளங்களை பராமரித்து, பாதுகாப்பு மற்றும் செயல்திறனை உறுதி செய்து இணைய த்தளங்கள் சரியாக இயங்கும்.","A Web Server Administrator is a person who manages a web server, who maintains websites and ensures security and performance so that websites run properly."
web service,இணைய சேவை,"இணைய சேவை என்பது இணையத்தின் மூலம் இணைய பயன்பாடுகளுக்கு இடையே தரவுகளைப் பரிமாற்றம் செய்யும் ஒரு முறையாகும். இது இணைய த்தளங்களுக்கு இடையே தொடர்புகளை ஏற்படுத்துவதற்கும், தரவுகளைப் பகிர்வதற்கும் உதவுகிறது.",A Web Service is a method of exchanging data between web applications over the Internet.It helps to establish connections and share data between websites.
web services,இணைய சேவைகள்,"இணைய சேவைகள் என்பது இணையத்தின் மூலம் தரவுகளைப் பரிமாறிக்கொள்ளவும், செயலி சேவைகளை வழங்கவும் பயன்படும் தொழில்நுட்பமாகும். இது இணைய த்தளங்களுக்கு இடையேயான தகவல் பரிமாற்றத்திற்கு உதவுகிறது.",Web Services is a technology used to exchange data and provide application services over the Internet.It helps the exchange of information between websites.
web services interoperability,இணைய சேவைகள் இணைமுறை ,"இணைய சேவைகள் இணைமுறை  என்பது வெவ்வேறு இணைய சேவைகளுக்கு இடையில் தரவைப் பரிமாறிக்கொள்வதற்கும், ஒன்றோடொன்று இணைந்து செயல்படுவதற்கும் உதவும் தொழில்நுட்பம். இது பல்வேறு இணைய சேவைகளை ஒருங்கிணைத்து, பயனர்களுக்கு எளிதான மற்றும் ஒருங்கிணைந்த அனுபவத்தை வழங்க உதவுகிறது.",Web Services Interoperability is a technology that enables different web services to exchange data and work together.It integrates various web services and helps provide users with an easy and integrated experience.
web standards project,இணைய நிலையான அமைவுகள் செய்திட்ட ம்,இணைய நிலையான அமைவுகள் செய்திட்ட ம் என்பது இணைய ப்பக்கங்களின் உள்ளடக்கம் மற்றும்முறைமை ஆகியவற்றை ஒழுங்குபடுத்துவதற்கான வழிமுறைகளை நிர்ணயிக்கும் ஒரு முயற்சியாகும். இது இணைய தளங்களை பயனர்களுக்கு பாதுகாப்பான மற்றும் எளிதாக அணுகத்தக்க தாக மாற்றுவதை நோக்கamமாகக் கொண்டுள்ளது.,The Web Standards Project is an effort to set guidelines for regulating the content and structure of web pages.It aims to make websites secure and easily accessible for users.
webassembly for proxies,உரிமை பெற்ற பிரதிநிதிகளுக்கான இணைய சபை,"உரிமை பெற்ற பிரதிநிதிகளுக்கான இணைய சபை என்பது ஒரு புதிய வகை இணைய  நிரலாக்க தொழில்நுட்பமாகும், இது இணைய த்தளங்களில் பாதுகாப்பான மற்றும் வேகமான நிரல்களை செயல்படுத்த உதவுகிறது. இது பிரதிநிதிகள் மற்றும் இணைய  சேவைகளுக்கு இடையே பாதுகாப்பான தொடர்புக்கு உதவுகிறது.",WebAssembly for Proxies is a new type of web programming technology that enables secure and fast implementation of programs on websites.It enables secure communication between agents and web services.
web-based training,இணைய அடித்தளம்யிலான துறைகள்‌பிணைப்பியல்,"இணைய அடித்தளம்யிலான துறைகள்‌பிணைப்பியல் என்பது கணினி மூலம் இணையத்தில் கற்றல் மற்றும் துறைகள்‌பிணைப்பியல் பெறும் செயல்முறையாகும். இதில் பாதுகாப்பு, தரவுப் பாதுகாப்பு, மற்றும் சட்ட விவகாரங்கள் போன்ற தகவல்கள் கொடுக்கப்படுகின்றன.","Web-based training is the process of learning and training on the Internet through a computer.This includes information on security, data protection, and legal issues."
webmaster,வலைதள மேலாளர் ,"வலைதள மேலாளர்  என்பவர் ஒரு இணைய தளத்தை நிர்வகித்து, பராமரித்து, அதன் செயல்பாடுகளை மேற்பார்வையிடும் நபர் ஆவார். அவர் இணையதளத்தின் பாதுகாப்பு, செயல்திறன், மற்றும் பயனர் அனுபவம் ஆகியவற்றை உறுதி செய்வதில் பொறுப்புடையவர்.","A webmaster is a person who manages, maintains and oversees the operations of a website.He is responsible for ensuring the website's security, performance, and user experience."
website,வலைத்தளம் ,"வலைத்தளம்  என்பது இணையத்தில் அமைந்துள்ள ஒரு கணினி இணைய த்தளம் ஆகும், இதில் பல்வேறு தகவல்கள், படங்கள், வீடியோக்கள் போன்றவை பயனர்களுக்காக வழங்கப்படுகின்றன. இது ஒரு நிறுவனம்,முறைமை அல்லது தனிநபர் தங்கள் தகவல்களை பகிர்ந்து கொள்வதற்கு பயன்படுத்தப்படுகிறது.","A website is a computer website located on the Internet, where various information, images, videos, etc. are provided for users.It is used by a company, organization or individual to share their information."
well-formed,நன்கு உருவாகிய,"நன்கு உருவாகிய என்பது கணினி மொழியில் சரியாக அமைந்த, பிழையில்லாத மற்றும் நிலையான அமைவுகளுக்கேற்ப உருவாக்கப்பட்ட குறியீடுகளைக் குறிக்கிறது. இது செயல்பாட்டைச் சரியாகச் செயல்பட உதவுகிறது.","Well-formed refers to well-formed, error-free, and standards-formed code in a computer language.It helps the function to function properly."
white box testing,வெள்ளை பெட்டி பரிசோதனை,"வெள்ளை பெட்டி பரிசோதனை என்பது ஒரு பரிசோதனை முறையாகும், இதில் பரிசோதனையாளர் நிரலின் உள்ளே என்ன நடக்கிறது என்பதை அறிந்துகொள்ள முடியும். இது ஒரு நிரலின் ஆதார மூலக் குறியீட்டைப் பகுப்பாய்வு செய்து, அதன் செயல்பாட்டை சோதிக்கிறது.",White Box Testing is a testing method where the tester can see what is happening inside the program.It analyzes the source code of a program and tests its functionality.
wide area augmentation system,அகல் பரப்பு வலைப்பின்னல் விரிவாக்க முறை,அகல் பரப்பு வலைப்பின்னல் விரிவாக்க முறை என்பது வானூர்திகளின் துல்லிய நேர மற்றும் இடவமைப்பு செய்ய உதவும் ஒரு தொழில்நுட்பம். இது செயற்கைக்கோள் வழிகாட்டுதல்முறைமை  களை மேம்படுத்துவதற்கு பயன்படுத்தப்படுகிறது.,Wide Area Augmentation System is a technology that enables precision timing and positioning of aircraft.It is used to improve satellite guidance systems.
wi-fi,அருகலை,"அருகலை என்பது வயர்லஸ் ஃபைடெலிட்டி (Wi-Fi) என்று அழைக்கப்படுகிறது, இது கம்ப்யூட்டர்கள், ஸ்மார்ட்போன்கள் மற்றும் இணைய சாதனங்களை இணைக்க ஒரு வகை தொடர்பு நெட்வொர்க் ஆகும். இது மிகவும் பொதுவான மற்றும் பயனுள்ள தொழில்நுட்பமாகும்.","Wi-Fi, also known as Wireless Fidelity (Wi-Fi), is a type of communication network for connecting computers, smartphones and Internet devices.This is a very common and useful technique."
wi-fi alliance,அருகலை கூட்டணி,அருகலை கூட்டணி என்பது வயர்லெஸ் தொழில்நுட்பத்திற்கான நிலையான அமைவுகளை நிர்வகிக்கும் ஒரு அமைப்பாகும். இது Wi-Fi சாதனங்களின் செயல்திறன் மற்றும் ஒத்திசைவை உறுதி செய்ய பணியாற்றுகிறது.,The Wi-Fi Alliance is an organization that manages standards for wireless technology.It works to ensure the performance and synchronization of Wi-Fi devices.
